tool,test_donor,accuracy,macro_f1,weighted_f1,f1_B_cells,f1_Mono,f1_NK,f1_Platelet,f1_T_cells,n_eval_cells,notes
SANN_PCA_ensemble,8K,0.9873,0.7876,0.9900,0.9959,0.9909,0.9574,0.0000,0.9938,6534,"3-seed deep ensemble; macro-F1 (known 4 classes) = 0.9846"
SANN_PCA_ensemble,3K,0.9850,0.9720,0.9850,0.9841,0.9921,0.9338,0.9655,0.9847,2601,"3-seed deep ensemble"
SingleR,8K,0.9594,0.7629,0.9712,0.9909,0.9744,0.8785,0.0000,0.9705,6534,"Monaco Immune reference; 152 predictions landed outside 5-class taxonomy (DC/Neutrophil/Basophil/Progenitor)"
SingleR,3K,0.9739,0.7735,0.9756,0.9855,0.9849,0.9108,0.0000,0.9862,2601,"Monaco Immune reference; 24 predictions outside taxonomy; Platelet F1=0 because Monaco atlas lacks Platelet labels — all 15 true platelets misclassified as errors"
Seurat_label_transfer,8K,0.9899,0.7898,0.9922,0.9963,0.9899,0.9677,0.0000,0.9948,6534,"FindTransferAnchors/TransferData; 68K reference built from raw counts with coarse labels; 8K has no Platelet ground-truth cells so Platelet F1=0 by construction"
Seurat_label_transfer,3K,0.9850,0.9648,0.9850,0.9855,0.9937,0.9286,0.9286,0.9876,2601,"FindTransferAnchors/TransferData; 68K reference built from raw counts with coarse labels; Platelet F1=0.93 (vs SingleR 0.0) because 68K reference includes Platelet cells"
ACTINN_pytorch_reimpl,8K,0.9798,0.7666,0.9816,0.9947,0.9909,0.8652,0.0000,0.9820,6534,"Paper-faithful PyTorch reimplementation of Ma & Pellegrini (2020); 3-layer FC (100-50-25) trained on 68K raw log2(x+1) counts; 20 epochs (reduced from paper default 50 to fit CPU budget, train converged by ep 9); 8K has no Platelet ground-truth so Platelet F1=0 by construction"
ACTINN_pytorch_reimpl,3K,0.9719,0.9428,0.9725,0.9827,0.9937,0.8328,0.9286,0.9761,2601,"Paper-faithful PyTorch reimplementation of Ma & Pellegrini (2020); 3-layer FC (100-50-25) trained on 68K raw log2(x+1) counts; NK F1 weakest (0.83) suggests the 25-unit bottleneck struggles with NK/T cell boundary"
scANVI,8K,0.9602,0.7360,0.9624,0.9818,0.9919,0.7507,0.0000,0.9556,6534,"scvi-tools 1.4.2; SCVI 100 ep + SCANVI 50 ep on Colab T4 GPU; trained on concatenated 68K+8K+3K raw counts with batch_key=dataset and 68K as the only labelled subset (8K/3K marked Unknown); 8K has no Platelet ground-truth so Platelet F1=0 by construction; NK F1 weak (0.75) suggests ZINB ELBO underfits rare classes"
scANVI,3K,0.9496,0.7341,0.9502,0.9827,0.9929,0.7385,0.0000,0.9563,2601,"scvi-tools 1.4.2; semi-supervised ELBO washed out the 236 Platelet training cells (0.3% of 68K) → 0% recall on 15 true Platelets in 3K; NK F1 0.74 also weak — same class-imbalance artefact of the unweighted ELBO objective"
